POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1368	Stabekk	1368 STABEKK	Gate-/veg-adresse	3766		219	Bærum	Akershus	59.9083	10.6016	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
1369	Stabekk	1369 STABEKK	Gate-/veg-adresse	3770		219	Bærum	Akershus	59.911082	10.607754	2	Koordinatane er retta av Emil Müller	2013-09-19 22:43:24
1371	Asker	1371 ASKER	Postboksar			220	Asker	Akershus	59.83324	10.43218	1	Koordinatane gjeld postkontoret	2013-09-17 14:08:03
1372	Asker	1372 ASKER	Postboksar			220	Asker	Akershus	59.8332	10.4322	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1373	Asker	1373 ASKER	Postboksar			220	Asker	Akershus	59.8332	10.4322	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1375	Billingstad	1375 BILLINGSTAD	Postboksar			220	Asker	Akershus	59.8765	10.4795	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
1376	Billingstad	1376 BILLINGSTAD	Postboksar			220	Asker	Akershus	59.8765	10.4795	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
1377	Billingstad	1377 BILLINGSTAD	Postboksar			220	Asker	Akershus	59.8765	10.4795	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
1378	Nesbru	1378 NESBRU	Postboksar			220	Asker	Akershus	59.8559	10.4896	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1379	Nesbru	1379 NESBRU	Postboksar			220	Asker	Akershus	59.85586	10.48963	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1380	Heggedal	1380 HEGGEDAL	Postboksar			220	Asker	Akershus	59.78665	10.43635	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
